alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
l2_progenitor_cell,freq.L2_progenitor_cell,freq,continuous,FALSE,FALSE,NA
l3_asdc,freq.L3_asdc,freq,continuous,FALSE,FALSE,NA
l3_baeomap_cell,freq.L3_baeomap_cell,freq,continuous,FALSE,FALSE,NA
l3_cd56bright_nk_cell,freq.L3_cd56bright_nk_cell,freq,continuous,FALSE,FALSE,NA
l3_cd8aa,freq.L3_cd8aa,freq,continuous,FALSE,FALSE,NA
l3_cdc1,freq.L3_cdc1,freq,continuous,FALSE,FALSE,NA
l3_dn_t_cell,freq.L3_dn_t_cell,freq,continuous,FALSE,FALSE,NA
l3_erythrocyte,freq.L3_erythrocyte,freq,continuous,FALSE,FALSE,NA
l3_ilc,freq.L3_ilc,freq,continuous,FALSE,FALSE,NA
l3_intermediate_monocyte,freq.L3_intermediate_monocyte,freq,continuous,FALSE,FALSE,NA
l3_pdc,freq.L3_pdc,freq,continuous,FALSE,FALSE,NA
l3_plasma_cell,freq.L3_plasma_cell,freq,continuous,FALSE,FALSE,NA
l3_platelet,freq.L3_platelet,freq,continuous,FALSE,FALSE,NA
l3_proliferating_nk_cell,freq.L3_proliferating_nk_cell,freq,continuous,FALSE,FALSE,NA
l3_proliferating_t_cell,freq.L3_proliferating_t_cell,freq,continuous,FALSE,FALSE,NA
l3_transitional_b_cell,freq.L3_transitional_b_cell,freq,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_ifn_alpha,pb.cd14_cdc2_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_ifn_gamma,pb.cd14_cdc2_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_il2_stat5,pb.cd14_cdc2_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_il6_jak_stat3,pb.cd14_cdc2_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_inflammatory,pb.cd14_cdc2_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_cd14_cdc2_tnfa_nfkb,pb.cd14_cdc2_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_ifn_alpha,pb.cd56bright_nk_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_ifn_gamma,pb.cd56bright_nk_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_il2_stat5,pb.cd56bright_nk_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_il6_jak_stat3,pb.cd56bright_nk_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_inflammatory,pb.cd56bright_nk_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_cd56bright_nk_cell_tnfa_nfkb,pb.cd56bright_nk_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_ifn_alpha,pb.cd8_mait_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_ifn_gamma,pb.cd8_mait_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_il2_stat5,pb.cd8_mait_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_il6_jak_stat3,pb.cd8_mait_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_inflammatory,pb.cd8_mait_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_cd8_mait_tnfa_nfkb,pb.cd8_mait_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_ifn_alpha,pb.cm_cd4_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_ifn_gamma,pb.cm_cd4_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_il2_stat5,pb.cm_cd4_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_il6_jak_stat3,pb.cm_cd4_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_inflammatory,pb.cm_cd4_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_cm_cd4_t_cell_tnfa_nfkb,pb.cm_cd4_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_ifn_alpha,pb.cm_cd8_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_ifn_gamma,pb.cm_cd8_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_il2_stat5,pb.cm_cd8_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_il6_jak_stat3,pb.cm_cd8_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_inflammatory,pb.cm_cd8_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_cm_cd8_t_cell_tnfa_nfkb,pb.cm_cd8_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_cd14_monocyte_ifn_alpha,pb.core_cd14_monocyte_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_cd14_monocyte_ifn_gamma,pb.core_cd14_monocyte_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_cd14_monocyte_il2_stat5,pb.core_cd14_monocyte_il2_stat5,pb,continuous,FALSE,FALSE,NA
