from,to,constraint
pb.core_cd14_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.core_cd14_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.core_cd14_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_cd14_monocyte_inflammatory,subject.ageGroup,blacklist
pb.core_cd14_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_cd16_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.core_cd16_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.core_cd16_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.core_cd16_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_cd16_monocyte_inflammatory,subject.ageGroup,blacklist
pb.core_cd16_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_memory_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.core_memory_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.core_memory_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.core_memory_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_memory_b_cell_inflammatory,subject.ageGroup,blacklist
pb.core_memory_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_naive_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.core_naive_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.core_naive_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.core_naive_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_naive_b_cell_inflammatory,subject.ageGroup,blacklist
pb.core_naive_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.core_naive_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.core_naive_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.dn_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.dn_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.dn_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.dn_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.dn_t_cell_inflammatory,subject.ageGroup,blacklist
pb.dn_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.early_memory_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.early_memory_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.early_memory_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.early_memory_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.early_memory_b_cell_inflammatory,subject.ageGroup,blacklist
pb.early_memory_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.erythrocyte_ifn_alpha,subject.ageGroup,blacklist
pb.erythrocyte_ifn_gamma,subject.ageGroup,blacklist
pb.erythrocyte_il2_stat5,subject.ageGroup,blacklist
pb.erythrocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.erythrocyte_inflammatory,subject.ageGroup,blacklist
pb.erythrocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_ifn_alpha,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_ifn_gamma,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_il2_stat5,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_inflammatory,subject.ageGroup,blacklist
pb.gzmb_vd2_gdt_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.gzmk_cd27_em_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_ifn_alpha,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_ifn_gamma,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_il2_stat5,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_inflammatory,subject.ageGroup,blacklist
pb.gzmk_cd56dim_nk_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_ifn_alpha,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_ifn_gamma,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_il2_stat5,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_inflammatory,subject.ageGroup,blacklist
pb.gzmk_memory_cd4_treg_tnfa_nfkb,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_ifn_alpha,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_ifn_gamma,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_il2_stat5,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_il6_jak_stat3,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_inflammatory,subject.ageGroup,blacklist
pb.gzmk_vd2_gdt_tnfa_nfkb,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_ifn_alpha,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_ifn_gamma,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_il2_stat5,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_il6_jak_stat3,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_inflammatory,subject.ageGroup,blacklist
pb.hla_drhi_cdc2_tnfa_nfkb,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_inflammatory,subject.ageGroup,blacklist
pb.il1b_cd14_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.ilc_ifn_alpha,subject.ageGroup,blacklist
pb.ilc_ifn_gamma,subject.ageGroup,blacklist
pb.ilc_il2_stat5,subject.ageGroup,blacklist
pb.ilc_il6_jak_stat3,subject.ageGroup,blacklist
pb.ilc_inflammatory,subject.ageGroup,blacklist
pb.ilc_tnfa_nfkb,subject.ageGroup,blacklist
pb.intermediate_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.intermediate_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.intermediate_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.intermediate_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.intermediate_monocyte_inflammatory,subject.ageGroup,blacklist
pb.intermediate_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_inflammatory,subject.ageGroup,blacklist
pb.isg_cd14_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_ifn_alpha,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_ifn_gamma,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_il2_stat5,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_inflammatory,subject.ageGroup,blacklist
pb.isg_cd16_monocyte_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_cd56dim_nk_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_cdc2_ifn_alpha,subject.ageGroup,blacklist
pb.isg_cdc2_ifn_gamma,subject.ageGroup,blacklist
pb.isg_cdc2_il2_stat5,subject.ageGroup,blacklist
pb.isg_cdc2_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_cdc2_inflammatory,subject.ageGroup,blacklist
pb.isg_cdc2_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_mait_ifn_alpha,subject.ageGroup,blacklist
pb.isg_mait_ifn_gamma,subject.ageGroup,blacklist
pb.isg_mait_il2_stat5,subject.ageGroup,blacklist
pb.isg_mait_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_mait_inflammatory,subject.ageGroup,blacklist
pb.isg_mait_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_memory_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_memory_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_memory_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_memory_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
