node,tier
pb.cmp_cell_tnfa_nfkb,1
pb.core_cd14_monocyte_ifn_alpha,1
pb.core_cd14_monocyte_ifn_gamma,1
pb.core_cd14_monocyte_il2_stat5,1
pb.core_cd14_monocyte_il6_jak_stat3,1
pb.core_cd14_monocyte_inflammatory,1
pb.core_cd14_monocyte_tnfa_nfkb,1
pb.core_cd16_monocyte_ifn_alpha,1
pb.core_cd16_monocyte_ifn_gamma,1
pb.core_cd16_monocyte_il2_stat5,1
pb.core_cd16_monocyte_il6_jak_stat3,1
pb.core_cd16_monocyte_inflammatory,1
pb.core_cd16_monocyte_tnfa_nfkb,1
pb.core_memory_b_cell_ifn_alpha,1
pb.core_memory_b_cell_ifn_gamma,1
pb.core_memory_b_cell_il2_stat5,1
pb.core_memory_b_cell_il6_jak_stat3,1
pb.core_memory_b_cell_inflammatory,1
pb.core_memory_b_cell_tnfa_nfkb,1
pb.core_naive_b_cell_ifn_alpha,1
pb.core_naive_b_cell_ifn_gamma,1
pb.core_naive_b_cell_il2_stat5,1
pb.core_naive_b_cell_il6_jak_stat3,1
pb.core_naive_b_cell_inflammatory,1
pb.core_naive_b_cell_tnfa_nfkb,1
pb.core_naive_cd4_t_cell_ifn_alpha,1
pb.core_naive_cd4_t_cell_ifn_gamma,1
pb.core_naive_cd4_t_cell_il2_stat5,1
pb.core_naive_cd4_t_cell_il6_jak_stat3,1
pb.core_naive_cd4_t_cell_inflammatory,1
pb.core_naive_cd4_t_cell_tnfa_nfkb,1
pb.core_naive_cd8_t_cell_ifn_alpha,1
pb.core_naive_cd8_t_cell_ifn_gamma,1
pb.core_naive_cd8_t_cell_il2_stat5,1
pb.core_naive_cd8_t_cell_il6_jak_stat3,1
pb.core_naive_cd8_t_cell_inflammatory,1
pb.core_naive_cd8_t_cell_tnfa_nfkb,1
pb.dn_t_cell_ifn_alpha,1
pb.dn_t_cell_ifn_gamma,1
pb.dn_t_cell_il2_stat5,1
pb.dn_t_cell_il6_jak_stat3,1
pb.dn_t_cell_inflammatory,1
pb.dn_t_cell_tnfa_nfkb,1
pb.early_memory_b_cell_ifn_alpha,1
pb.early_memory_b_cell_ifn_gamma,1
pb.early_memory_b_cell_il2_stat5,1
pb.early_memory_b_cell_il6_jak_stat3,1
pb.early_memory_b_cell_inflammatory,1
pb.early_memory_b_cell_tnfa_nfkb,1
pb.erythrocyte_ifn_alpha,1
pb.erythrocyte_ifn_gamma,1
pb.erythrocyte_il2_stat5,1
pb.erythrocyte_il6_jak_stat3,1
pb.erythrocyte_inflammatory,1
pb.erythrocyte_tnfa_nfkb,1
pb.gzmb_cd27_em_cd4_t_cell_ifn_alpha,1
pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,1
pb.gzmb_cd27_em_cd4_t_cell_il2_stat5,1
pb.gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,1
pb.gzmb_cd27_em_cd4_t_cell_inflammatory,1
pb.gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,1
pb.gzmb_vd2_gdt_ifn_alpha,1
pb.gzmb_vd2_gdt_ifn_gamma,1
pb.gzmb_vd2_gdt_il2_stat5,1
pb.gzmb_vd2_gdt_il6_jak_stat3,1
pb.gzmb_vd2_gdt_inflammatory,1
pb.gzmb_vd2_gdt_tnfa_nfkb,1
pb.gzmk_cd27_em_cd8_t_cell_ifn_alpha,1
pb.gzmk_cd27_em_cd8_t_cell_ifn_gamma,1
pb.gzmk_cd27_em_cd8_t_cell_il2_stat5,1
pb.gzmk_cd27_em_cd8_t_cell_il6_jak_stat3,1
pb.gzmk_cd27_em_cd8_t_cell_inflammatory,1
pb.gzmk_cd27_em_cd8_t_cell_tnfa_nfkb,1
pb.gzmk_cd56dim_nk_cell_ifn_alpha,1
pb.gzmk_cd56dim_nk_cell_ifn_gamma,1
pb.gzmk_cd56dim_nk_cell_il2_stat5,1
pb.gzmk_cd56dim_nk_cell_il6_jak_stat3,1
pb.gzmk_cd56dim_nk_cell_inflammatory,1
pb.gzmk_cd56dim_nk_cell_tnfa_nfkb,1
pb.gzmk_memory_cd4_treg_ifn_alpha,1
pb.gzmk_memory_cd4_treg_ifn_gamma,1
pb.gzmk_memory_cd4_treg_il2_stat5,1
pb.gzmk_memory_cd4_treg_il6_jak_stat3,1
pb.gzmk_memory_cd4_treg_inflammatory,1
pb.gzmk_memory_cd4_treg_tnfa_nfkb,1
pb.gzmk_vd2_gdt_ifn_alpha,1
pb.gzmk_vd2_gdt_ifn_gamma,1
pb.gzmk_vd2_gdt_il2_stat5,1
pb.gzmk_vd2_gdt_il6_jak_stat3,1
