subject.subjectGuid,sample.sampleKitGuid,wb.adipogenesis,wb.allograft_rejection,wb.androgen_response,wb.angiogenesis,wb.apical_junction,wb.apical_surface,wb.apoptosis,wb.bile_acid_metabolism,wb.cholesterol_homeostasis,wb.coagulation,wb.complement,wb.dna_repair,wb.e2f_targets,wb.epithelial_mesenchymal_transition,wb.estrogen_response_early,wb.estrogen_response_late,wb.fatty_acid_metabolism,wb.g2_m_checkpoint,wb.glycolysis,wb.hedgehog_signaling,wb.heme_metabolism,wb.hypoxia,wb.il_2_stat5_signaling,wb.il_6_jak_stat3_signaling,wb.inflammatory_response,wb.interferon_alpha_response,wb.interferon_gamma_response,wb.kras_signaling_dn,wb.kras_signaling_up,wb.mitotic_spindle,wb.mtorc1_signaling,wb.myc_targets_v1,wb.myc_targets_v2,wb.myogenesis,wb.notch_signaling,wb.oxidative_phosphorylation,wb.p53_pathway,wb.pancreas_beta_cells,wb.pi3k_akt_mtor_signaling,wb.pperoxisome,wb.protein_secretion,wb.reactive_oxygen_species_pathway,wb.spermatogenesis,wb.tgf_beta_signaling,wb.tnf_alpha_signaling_via_nf_kb,wb.unfolded_protein_response,wb.uv_response_dn,wb.uv_response_up,wb.wnt_beta_catenin_signaling,wb.xenobiotic_metabolism,wb.low_lib_flag
BR1010,KT00022,0.456509470934758,0.46526791347810864,0.4620013326855269,0.21195121591326496,0.1976241780621436,0.24422675717389514,0.4586520864917932,0.23337490608324057,0.44690870879945094,0.1318513188969434,0.4197959532655838,0.5376177349364918,0.4998417214742379,0.0694110816936323,0.2272141807454039,0.22855474587512348,0.4343802463341193,0.4810141231943312,0.34601803668216863,0.09924172251122465,0.5217198625224384,0.3301710518473399,0.46448470423568644,0.43967755616969506,0.36082048242090176,0.5917189407050985,0.5712600191541142,-0.11752609173993152,0.27822532393775085,0.4908650503149808,0.5583304584753981,0.6185732380825313,0.5611062423031081,0.09933224040230422,0.3491299397560075,0.5891007170062014,0.4403031772038626,-0.12306838573084276,0.47724276716721925,0.4298722821031657,0.5475631750691639,0.5964546202505532,0.028790540267443893,0.4430033120030839,0.43619710538603323,0.5447978861892182,0.3007926044663801,0.38150214389637627,0.39954630293507837,0.27860060987174573,False
BR1009,KT00023,0.4357659244972916,0.4827998048864916,0.4634120793112768,0.09313734148353316,0.19732776050337317,0.19046660347143154,0.4776108502292752,0.24197835250355212,0.43103668722110894,0.12031124515800518,0.4180526570251644,0.5293210694941518,0.4936434463499619,0.10321482750448795,0.2604591391760293,0.22937359963081477,0.4169006127175945,0.4751100830997339,0.3381538771143192,0.18272415046153848,0.5074167930173468,0.3478748700441268,0.45359368060370964,0.4553876781195022,0.3548476249704997,0.5910081595895963,0.5817741175864263,-0.13026183039148653,0.27964569336314055,0.5028896611142402,0.5429901855798076,0.6156125269287751,0.5610672320903854,0.13010897966226273,0.37421097072012993,0.6017043209257134,0.43113009411466224,-0.1157193935915537,0.48514376328505787,0.3974480285945576,0.5563933768122957,0.5991897923907954,0.002774973912313001,0.4619330657788888,0.45486841124746696,0.5520653706299299,0.30341970564596304,0.37083783940603043,0.40530978379900406,0.23536791810126387,False
BR1011,KT00025,0.4446696579757338,0.4650511117895932,0.4469376988780899,0.10450036736543512,0.21552443858621434,0.20739863514477525,0.4626629335258474,0.24074212209371182,0.44361792315133436,0.09215040327338088,0.3950127180803849,0.5405428379126329,0.482860167759071,0.08637475875482828,0.21964126166995276,0.22363132714396017,0.4366836205735699,0.45860688839782815,0.3371687583097012,0.07114989044033208,0.5350360350843525,0.3210649649363864,0.45542398649467053,0.4387236058198703,0.3286928028771011,0.5887976525483812,0.5757414591492275,-0.1509578103155917,0.24999076241438034,0.4686950898971223,0.5449701900697984,0.6175977142446727,0.5667693413922843,0.14071378174498328,0.3591592612960684,0.5898900900083202,0.4311047692544016,-0.14572520132327868,0.49953911012653524,0.4119298640442537,0.542968331647462,0.5986747418645423,0.0058309277936655236,0.44562381073312335,0.4408228208371676,0.5371509248791807,0.29748579545825843,0.3822334897294539,0.32245304461738317,0.2584144032068752,False
BR1012,KT00026,0.4562661656619873,0.4769212885986264,0.453565856950048,0.1491698545949534,0.24712798910040595,0.22978677545050608,0.4592594864305146,0.26674781567448225,0.42762735251739914,0.1657186815798416,0.42068862309180644,0.5453219233132749,0.4750670724903228,0.0961276134046686,0.2638675567068782,0.23902080659369726,0.4310248206613772,0.45829143303951625,0.3429415015414718,0.19837094053102286,0.5077135288860797,0.33672800778355,0.4505573852666709,0.4396702098493817,0.37981700453105127,0.5963435007558362,0.5864392884035067,-0.09135506645135574,0.30674595999582416,0.47031978181723305,0.5603825650991742,0.6165354047917526,0.5503770760472257,0.16908375053716046,0.3292820313962305,0.592280062490538,0.45517775744249134,-0.12574256796677888,0.49596339057103506,0.42524327526669675,0.5559036604235127,0.5986446977960765,0.07296717723135845,0.4804692425484814,0.45844073637791877,0.5492708409667617,0.3102449515072462,0.37904651622676616,0.3876449791370414,0.28191243645754166,False
BR1013,KT00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
BR1014,KT00031,0.4674524666969415,0.46449146707637595,0.4852494773965643,0.13765731277939425,0.19691494417778077,0.2384589683113588,0.4742381273519638,0.24098643729955554,0.4199986865483544,0.11882977592159102,0.41788041726745495,0.5308665648546523,0.47302398947425534,0.08987143934498468,0.2750074159444453,0.23319114942339342,0.43942028797898297,0.4412293652951128,0.3460764702026565,0.1775876723837943,0.5122374264195735,0.34264378814720015,0.4579463933308537,0.44459608416680935,0.340156276405792,0.6272279740219158,0.5950998152868388,-0.10101510889635351,0.265813758272441,0.4698878005151864,0.5385256526850929,0.6103736671577634,0.5357302143060593,0.15621703337317602,0.31661712415206766,0.5893389524504956,0.4501963291370208,-0.17026934987841277,0.4946220829769446,0.4118289782245518,0.5608097629086929,0.5924926361541296,0.028273982630096783,0.47277203390571393,0.4402570262808852,0.5537309619108778,0.32363650171430136,0.389989238552073,0.420927551211581,0.27471673994120577,False
BR1018,KT00041,0.45692295274954847,0.47595864008201905,0.4553451008425729,0.13713880667346817,0.2026456906136525,0.19647516020153258,0.4850590169581263,0.22365719535093018,0.4706086210491769,0.1267836806748953,0.41030299632795914,0.536631042773862,0.4907696128868751,0.07306975782668981,0.21504237517569832,0.21027506317567066,0.41827552800608053,0.46763545238802706,0.34675241204711316,0.1010772402274505,0.5233948909775309,0.3489286028785157,0.45796116566948103,0.4353324796492902,0.3618279299860587,0.5901310497325725,0.5679879082829784,-0.12422926251441972,0.27647263342783124,0.4878912164377981,0.5542935109698338,0.6177038384088009,0.5509848362312587,0.13236716328812143,0.38013336450159885,0.5871405452407499,0.45340013436278137,-0.1472696389766982,0.48976970934063124,0.41712745372489457,0.5634229629381492,0.5990745241231914,0.03543131905520754,0.4871881746690883,0.4540785128111694,0.5438240778695359,0.31687208682912493,0.3755378333655052,0.3752652619567482,0.25931860862958744,False
BR1033,KT00166,0.4562641859701925,0.4777377089675653,0.45235466315314943,0.16183006891318633,0.23058095742895005,0.26283451190881785,0.45823145695352197,0.25211529458339094,0.40392174323574365,0.13788213723895074,0.43514429115478387,0.5381373053748997,0.5148767798876975,0.09475265120426529,0.265398426570981,0.25150724616072595,0.4365322270463677,0.4981922412205325,0.3502487001404361,0.15424682436516785,0.5153287124184811,0.3351980914982674,0.4560020037325043,0.4624774095475632,0.3393479122420158,0.5783837613660027,0.5689982579234042,-0.09570906532550207,0.2783698148919707,0.48732815329287965,0.5483794007861714,0.6215534862315201,0.5622089189500846,0.15731824401661412,0.3514308702589942,0.5965634733252606,0.4637775748563569,-0.13966447668075604,0.49015058246850707,0.4264967174632779,0.5638381051342854,0.5944232581113121,0.05189704360850718,0.4732330131103862,0.48077842432093726,0.5587742913356615,0.29831662506955164,0.38938594579959485,0.3746658362448742,0.2541606547550391,False
BR2009,KT00334,0.45806541657647876,0.45747738096192675,0.47212297211188037,0.1869075156200752,0.23970454672715333,0.2399928040836588,0.47194335786443037,0.2551408979640992,0.4234807147906474,0.1368610786587151,0.4113225602044771,0.5445975974395934,0.49482278089048426,0.09329297347663529,0.2818415139760068,0.2375896214757453,0.4412183041516861,0.46976664100602467,0.3363959280313056,0.24971179491005677,0.5198716876681844,0.36112081853064265,0.460738813831486,0.4449412329572407,0.3343909849609109,0.573878090073511,0.5580097595048471,-0.07609221232103122,0.2565524921744035,0.49960029179467935,0.5419942644030348,0.6144255347028891,0.5527881011607972,0.16508389010807176,0.3554373782986274,0.5970403068817828,0.47090991908215846,-0.06944322861047801,0.4960876350112701,0.4006783993396771,0.5628647644770064,0.6010465404028406,0.03168018302850415,0.488891131536826,0.4410775105929346,0.5388738432646618,0.3056042125415073,0.380796838423999,0.41194469337340295,0.2869664241637259,False
BR2038,KT00339,0.4525229804348668,0.4777506686035585,0.463521132423624,0.18024758061300952,0.1943003141134791,0.267145074292662,0.4735630484640011,0.2472826254490021,0.48215778128276876,0.11927419702800685,0.3988165181445569,0.5433019503717669,0.47433541531598833,0.09137848715560414,0.22739504730710802,0.21841120911685127,0.4314593783756172,0.4463629078270954,0.3175061184351824,0.09455930768476746,0.4998598912959702,0.343006308469259,0.47454384925889487,0.4497777707886606,0.36297993628473646,0.5930623499563795,0.573096309539121,-0.12578240683555122,0.2828161846112732,0.4689705542454736,0.5417852548949671,0.6142836059267812,0.5544744517577191,0.13180761971683125,0.34635969802448413,0.5911889383140981,0.4697455644716412,-0.07344471212148325,0.48685296223095514,0.4048314163451468,0.5538774989908817,0.5932989967794627,0.026660266922992296,0.5039088312546106,0.47206741200014274,0.5536662245863501,0.3056663283936879,0.3721952571523883,0.43755380567344965,0.27764810183818933,False
BR1037,KT00341,0.44493678476777543,0.4639007833712742,0.4574559278320231,0.13881320095676095,0.21735464708579535,0.2493620870774725,0.4497443437941478,0.24301846263608043,0.4306729295027307,0.110086202477446,0.40378150859659184,0.533244982002528,0.44458249174941966,0.0827263169732019,0.23764655912536523,0.18331379400363787,0.431058624974242,0.45501792023323306,0.34690242452946357,0.10356390373981597,0.528541907761412,0.3255723184775249,0.4385824711347148,0.4522081189435024,0.33908362846395074,0.5922694957612403,0.5803204663714928,-0.11770914042173651,0.2516919776725303,0.48403520896258356,0.54790857548572,0.6077342613758426,0.5361907016838062,0.12207130635532087,0.40856939910470524,0.5904497970285996,0.45572869742246624,-0.12828227112587326,0.4898447713713713,0.4023924419988266,0.5445324814630007,0.6047240342314968,-0.029604433741504427,0.47891775296111966,0.457792216029081,0.5433308026127222,0.29988281989644744,0.40291742144173953,0.3587205077636083,0.27064916525615046,False
BR2025,KT00342,0.45780785359361365,0.4883326841126694,0.45712818466467814,0.16850186750969637,0.24644356049284427,0.23764245162412373,0.4708716305330628,0.22258454001650696,0.46629934831133135,0.17738348193051018,0.43354418363980857,0.5494268791933486,0.4993042772612092,0.11525465144045391,0.2535997143319029,0.2253410291859688,0.4134345015786475,0.4796116814184254,0.3575245628526517,0.2562047465125605,0.5130621935465067,0.3430192542017679,0.462093880472471,0.4223667065289024,0.3503698423333775,0.5865051354933817,0.5805382863412197,-0.09041156637002516,0.28303721164504386,0.49970149278045173,0.552825886967791,0.6139950527994548,0.5496416651183191,0.14589287245381236,0.4090429587772746,0.6054125534431629,0.46246525820169065,-0.14213323125194954,0.4878797813844321,0.4147754829762552,0.5562777997708689,0.6016919538025197,0.040519434088124036,0.44795318320271527,0.46686951234664387,0.5551752122285297,0.3017567888537817,0.38353404427131454,0.40005114916417667,0.28802711050942104,False
BR1031,KT00345,0.4696498387644173,0.4878592634194766,0.46712660157566616,0.23230474718519808,0.25688396033896427,0.3304624407268695,0.4772296989159419,0.2513170603699759,0.41383075173654466,0.1894498688508124,0.45917581818161707,0.5287083987102518,0.4672303929786101,0.1781515342436007,0.27997661187701145,0.24894803737400126,0.43307411834197146,0.45788883813155057,0.3548176604207155,0.2940486875879111,0.5279931322512025,0.3649338002227955,0.45879333988942295,0.4450551091691023,0.38712731419900376,0.5979638754819655,0.5564947721828715,-0.04940299268798138,0.316712149482792,0.5046140081904894,0.5455893262035074,0.6114048508116103,0.5615205625649233,0.19819939439819903,0.3248081242814094,0.5878021983900776,0.4721441130702959,-0.00754440096121378,0.504543021650778,0.41887314608860055,0.5425022556594558,0.6052938409525919,0.0957098222034152,0.48424648676041177,0.4668732436845907,0.5335381472347875,0.388741384143359,0.3946016628471988,0.3984654538425645,0.29541073663946993,False
BR1026,KT00347,0.44338955730394547,0.46437385734997183,0.46373988714789466,0.13376159701167545,0.22011276744367125,0.24339732698711683,0.457936037050973,0.2553679462745457,0.41744348316474206,0.1145333620452252,0.4180048809750318,0.5458267993369279,0.4920112398434427,0.0939021527786895,0.26991436339970215,0.2436085205543726,0.4283205681787743,0.4861491591721772,0.35492253658356177,0.17036336244191352,0.49506242780168974,0.33845148260336805,0.44741348168470907,0.4328439193865263,0.35334884998931515,0.5828645379835596,0.5588649710016328,-0.10238651161699562,0.26989659762745233,0.5001246006847794,0.5503060026649463,0.6274627630298808,0.5460041135853554,0.15323773669943894,0.3762617894597968,0.5961170223559987,0.45892709670961374,-0.11612449236391939,0.5051262437045058,0.4240469286487868,0.5443648840231694,0.5969209613807839,0.058887212445450414,0.45880399277924905,0.4504491677247409,0.5540420584383665,0.31029329850144255,0.4159967259701571,0.4404933368064548,0.25701091254351893,False
BR1025,KT00349,0.4819529630193086,0.49231033955453224,0.4825671777486003,0.21672523199696064,0.26020705603833083,0.2494012031011519,0.4850912568417353,0.28009248064247216,0.43396980819077374,0.19762022578431043,0.430008191852367,0.5483824374501326,0.49729068152552397,0.14281950506549212,0.26086906745827804,0.25055665677069855,0.4278623953630572,0.48616932581737343,0.37576438944450713,0.229514919494256,0.546951602645186,0.3515549886928609,0.4686107044582767,0.4732804041363922,0.39375062043625036,0.5990995050624619,0.5759345769214534,-0.004468147976756442,0.317072462480173,0.49388658856322426,0.5721938654412181,0.6202995661012448,0.5345857616601004,0.19159423258390004,0.4066638491802092,0.5850682340115124,0.45411808346705546,-0.09925051712953209,0.5130392223189563,0.40830599462355927,0.5553633347911712,0.5997888380350272,0.09345400556551378,0.48305810832326174,0.4670684203445124,0.5500531345594101,0.3670828647392768,0.3960983934655867,0.4239511230217675,0.2856758514940541,False
BR1024,KT00350,0.4287685895658794,0.4460116207278428,0.46061720651576066,0.1381935377774902,0.1719470806346521,0.137269620593848,0.4202475822474893,0.22950984717244577,0.42565606651452403,0.09410905652476012,0.38724364022146857,0.5258505489526487,0.4303759150090388,0.04475261969146094,0.20832519683503026,0.1832205045149602,0.4050525684776169,0.3999273494430256,0.2962588946551607,0.10880684549782998,0.5315283431579518,0.2996771676318193,0.4174671113138081,0.41392597994332103,0.28649139376093885,0.5865650599265312,0.5475694974637269,-0.1267868337527465,0.2151896775751292,0.4364319453454236,0.5307438800041998,0.6159479183803536,0.571804563241283,0.10150723950931184,0.3556054302302906,0.596442095610715,0.44679145571999335,-0.11789306004783004,0.47178487939006564,0.4022996273373753,0.5505579093996514,0.583630173610943,0.024073090258360977,0.44067356618731485,0.38947046170261984,0.5434952175160981,0.2563847810964235,0.35535269277427434,0.40726291569897705,0.23916347730650467,False
BR2010,KT00352,0.47303360597069616,0.4686398473282417,0.43631333940363315,0.14718921768326404,0.21682215007998304,0.22425536201637958,0.4740946583724364,0.24220261943865387,0.42413335196683377,0.16591092580260672,0.42336418026532147,0.5311217104728116,0.490110341635715,0.10249044134297536,0.22884988857685742,0.20220429830661918,0.42872185799075074,0.47929878620132293,0.34899347198558,0.16299374187106364,0.5214033746503522,0.35045426667099494,0.4708055950924109,0.436362203217267,0.34514324655835593,0.573902572690578,0.5714018129777874,-0.11987771100740544,0.2815026567660366,0.5015130346768744,0.554584017396064,0.6125481701123093,0.5506004003083821,0.15476042879198604,0.35087574618982087,0.5880936602789089,0.46668205215123676,-0.04514130992242848,0.4974709080424909,0.4258757216248248,0.557575611639283,0.5960517005681074,0.007528309230095281,0.44907520948023155,0.4528584482784209,0.540323638148999,0.3229482542058196,0.3925348892426156,0.3868398750762951,0.2712952396375278,False
BR2008,KT00353,0.4519022268655612,0.47123635992253976,0.44591335643773156,0.16675407268225473,0.23135373472336068,0.2306350949553665,0.45354159319118725,0.25428238328052777,0.4066728232755163,0.17569653682515787,0.4259417682368561,0.539057829413257,0.45840749171993994,0.12078758852187976,0.28157515369894814,0.2442069909480427,0.4389376574286927,0.454224059667627,0.30985696098998483,0.16946360976894287,0.5466467162045731,0.3342505379766194,0.4840385481010852,0.4382188194745532,0.35251737215960544,0.5769113776435678,0.5436211262928421,-0.09737523274966145,0.2719567171070582,0.4838877715663011,0.540034606483197,0.6166639731666566,0.5576287115841103,0.14177822217677727,0.4267660942412398,0.5974666805553661,0.45594002400329464,-0.11237026792017943,0.489758286952905,0.41067591987257224,0.5441094011907626,0.5851816705247196,0.060004288146436005,0.45641456029198507,0.4482643020864923,0.5442570626223888,0.30470642399651376,0.400180751339859,0.36350648297797317,0.27362168762115235,False
